एक,NN,JJ,QTC,,
किसान,NN,,,,
था,VM,VAUX,,,
,,,,,
वह,DM,PRP,,,
अपने,PRP,PRF,,,
खेतों,NN,,,,
में,PSP,,,,
काम,NN,,,,
कर,RB,VM,NN,,
घर,NN,,,,
लौट,VM,NN,,,
रहा,VAUX,,,,
था,VAUX,,,,
,,,,,
रास्ते,NN,,,,
में,PSP,,,,
ही,RB,RP,,,
एक,NN,JJ,QTC,,
हलवाई,NN,,,,
की,PSP,,,,
दुकान,NN,,,,
थी,VM,VAUX,,,
,,,,,
उस,DM,PRL,,,
दिन,NN,,,,
किसान,NN,,,,
ने,PSP,,,,
कुछ,JJ,RB,PRQ,INTF,QF
ज्‍यादा,JJ,RB,INTF,QF,
काम,NN,,,,
कर,RB,VM,NN,,
लिया,VAUX,,,,
था,VAUX,,,,
और,CC,,,,
उसे,PRP,,,,
भूख,NN,,,,
भी,RB,,,,
बहुत,JJ,RB,INTF,QTF,
लग,VM,VAUX,,,
रही,VAUX,,,,
थी,VAUX,,,,
,,,,,
ऐसे,DMD,PR,,,
में,PSP,,,,
जब,RB,CC,PRL,NN,
वह,PRP,RB,JJ,,
हलवाई,NN,,,,
की,PSP,,,,
दुकान,NN,,,,
के,PSP,,,,
पास,JJ,RB,NN,PSP,
से,RB,VM,PSP,,
गुजरा,VM,,,,
तो,RB,CC,RPD,,
उसे,PRL,,,,
मिठाइयों,NN,,,,
की,PSP,,,,
खुशबू,NN,,,,
आने,VM,,,,
लगी,VAUX,,,,
,,,,,
वह,DM,PRP,,,
वहां,JJ,RB,,,
खुद,PRF,RB,,,
को,PSP,,,,
रोके,VM,,,,
बिना,RB,NEG,PSP,,
नहीं,NEG,,,,
रह,VM,VAUX,,,
पाया,NN,VAUX,,,
,,,,,
लेकिन,,,,,
उस,,,,,
दिन,,,,,
उसके,,,,,
पास,,,,,
ज्यादा,,,,,
पैसे,,,,,
नहीं,NEG,,,,
थे,,,,,
ऐसे,,,,,
में,,,,,
वह,,,,,
मिठाई,NN,,,,
खरीद,,,,,
नहीं,,,,,
सकता,,,,,
था,,,,,
,,,,,
तब,,,,,
वह,,,,,
कुछ,,,,,
देर,,,,,
वहीं,,,,,
खड़े,,,,,
होकर,,,,,
मिठाइयों,,,,,
की,,,,,
सुगंध,,,,,
का,,,,,
आनंद,,,,,
लेने,,,,,
लगा,,,,,
